itm_no_item|NEPLATNÝ PŘEDMĚT
itm_no_item_pl|NEPLATNÝ PŘEDMĚT
itm_french_cav_pistol|Pistole
itm_french_cav_pistol_pl|Pistole
itm_french_officer_pistol|Pistole
itm_french_officer_pistol_pl|Pistole
itm_french_pistol_1766|Pistole
itm_french_pistol_1766_pl|Pistole
itm_french_pistol_1777|Pistole
itm_french_pistol_1777_pl|Pistole
itm_russian_pistol|Pistole
itm_russian_pistol_pl|Pistole
itm_british_pistol|Pistole
itm_british_pistol_pl|Pistole
itm_french_mousquiton|Karabina
itm_french_mousquiton_pl|Karabina
itm_french_mousquiton_melee|Karabina
itm_french_mousquiton_melee_pl|Karabina
itm_french_mousquiton_ai|Karabina
itm_french_mousquiton_ai_pl|Karabina
itm_french_mousquiton_light|Karabina
itm_french_mousquiton_light_pl|Karabina
itm_french_mousquiton_light_melee|Karabina
itm_french_mousquiton_light_melee_pl|Karabina
itm_french_mousquiton_light_ai|Karabina
itm_french_mousquiton_light_ai_pl|Karabina
itm_french_dragoon_musket|Mušketa
itm_french_dragoon_musket_pl|Mušketa
itm_french_dragoon_musket_melee|Mušketa
itm_french_dragoon_musket_melee_pl|Mušketa
itm_french_dragoon_musket_ai|Mušketa
itm_french_dragoon_musket_ai_pl|Mušketa
itm_russian_dragoon_musket|Mušketa
itm_russian_dragoon_musket_pl|Mušketa
itm_russian_dragoon_musket_melee|Mušketa
itm_russian_dragoon_musket_melee_pl|Mušketa
itm_russian_dragoon_musket_ai|Mušketa
itm_russian_dragoon_musket_ai_pl|Mušketa
itm_russian_cavalry_stutzer_1803|Zkrácená karabina
itm_russian_cavalry_stutzer_1803_pl|Zkrácená karabina
itm_russian_gusarskiy_karabin|Zkrácená mušketa
itm_russian_gusarskiy_karabin_pl|Zkrácená mušketa
itm_russian_gusarskiy_karabin_melee|Zkrácená mušketa
itm_russian_gusarskiy_karabin_melee_pl|Zkrácená mušketa
itm_russian_gusarskiy_karabin_ai|Zkrácená mušketa
itm_russian_gusarskiy_karabin_ai_pl|Zkrácená mušketa
itm_british_carbine|Karabina
itm_british_carbine_pl|Karabina
itm_british_carbine_melee|Karabina
itm_british_carbine_melee_pl|Karabina
itm_british_carbine_ai|Karabina
itm_british_carbine_ai_pl|Karabina
itm_russian_rifle_1805|Puška
itm_russian_rifle_1805_pl|Puška
itm_russian_rifle_1805_melee|Puška
itm_russian_rifle_1805_melee_pl|Puška
itm_british_baker_rifle|Puška
itm_british_baker_rifle_pl|Puška
itm_british_baker_rifle_melee|Puška
itm_british_baker_rifle_melee_pl|Puška
itm_sniper_rifle|Odstřelovací puška
itm_sniper_rifle_pl|Odstřelovací puška
itm_blunderbluss|Blunderbluss
itm_blunderbluss_pl|Blunderbluss
itm_french_charleville|Pěchotní mušketa
itm_french_charleville_pl|Pěchotní mušketa
itm_french_charleville_melee|Pěchotní mušketa
itm_french_charleville_melee_pl|Pěchotní mušketa
itm_french_versailles|Pěchotní mušketa
itm_french_versailles_pl|Pěchotní mušketa
itm_french_versailles_melee|Pěchotní mušketa
itm_french_versailles_melee_pl|Pěchotní mušketa
itm_british_brown_bess|Pěchotní mušketa
itm_british_brown_bess_pl|Pěchotní mušketa
itm_british_brown_bess_melee|Pěchotní mušketa
itm_british_brown_bess_melee_pl|Pěchotní mušketa
itm_russian_musket_1808|Pěchotní mušketa
itm_russian_musket_1808_pl|Pěchotní mušketa
itm_russian_musket_1808_melee|Pěchotní mušketa
itm_russian_musket_1808_melee_pl|Pěchotní mušketa
itm_austrian_musket|Pěchotní mušketa
itm_austrian_musket_pl|Pěchotní mušketa
itm_austrian_musket_melee|Pěchotní mušketa
itm_austrian_musket_melee_pl|Pěchotní mušketa
itm_prussian_potsdam|Pěchotní mušketa
itm_prussian_potsdam_pl|Pěchotní mušketa
itm_prussian_potsdam_melee|Pěchotní mušketa
itm_prussian_potsdam_melee_pl|Pěchotní mušketa
itm_prussian_musket_1806|Pěchotní mušketa
itm_prussian_musket_1806_pl|Pěchotní mušketa
itm_prussian_musket_1806_melee|Pěchotní mušketa
itm_prussian_musket_1806_melee_pl|Pěchotní mušketa
itm_french_art_off_sword|Meč důstojníka dělostřelců
itm_french_art_off_sword_pl|Meč důstojníka dělostřelců
itm_french_carabineer_sword|Meč karabiníka
itm_french_carabineer_sword_pl|Meč karabiníka
itm_french_briquet_garde|Šavle Briquet
