hint_1|F1 키를 누르고 있으면 당신의 병사들을 이동시킬 특정 위치를 지정할 수 있습니다.
hint_2|비가 오면 말과 사람의 이동 속도가 줄어듭니다.
hint_3|월드 맵에서 스페이스 키를 누르면 현재 위치에서 대기할 수 있습니다.
hint_4|선술집 에서 당신과 함께할 인원을 더 모집할 수 있습니다.
hint_5|전투 도중에 당신의 부대에 명령을 내릴 수 있습니다.
hint_6|부대의 사기가 높을 수록 맵에서의 이동 속도가 빨라집니다.
hint_7|부상입은 동료들은 선술집에서 머물 경우 더 빨리 회복됩니다.
hint_8|소지품 창에서 물건을 한꺼번에 사거나 팔고 싶을 경우, 컨트롤 키를 누른 상태에서 마우스 왼쪽 버튼을 누르십시오.
hint_9|전투 중에 백스페이스 키를 누르면 명령 인터페이스를 볼 수 있습니다.
hint_10|당신이 마을이나 성 안에 머물 경우 부대 봉급에 지출되는 비용이 절반으로 줄어듭니다. 마찬가지로, 성 안에 군대를 주둔시킬 경우 유지 비용이 절반으로 줄어듭니다.
hint_11|Tab 키를 누르면 어느 장소에서라도 떠날 수 있습니다.
hint_12|Shift 키를 누르면 시야가 확대되어 멀리 있는 적을 손쉽게 조준할 수 있습니다.
