itm_no_item|OBJET INVALIDE
itm_no_item_pl|OBJET INVALIDE
itm_french_cav_pistol|Pistolet 'An IX' M1801
itm_french_cav_pistol_pl|Pistolet 'An IX' M1801
itm_french_officer_pistol|Pistolet d'officier
itm_french_officer_pistol_pl|Pistolet d'officier
itm_french_pistol_1766|Pistolet d'arçon M1766
itm_french_pistol_1766_pl|Pistolet d'arçon M1766
itm_french_pistol_1777|Pistolet M1777
itm_french_pistol_1777_pl|Pistolet M1777
itm_russian_pistol|Pistolet russe
itm_russian_pistol_pl|Pistolet russe
itm_british_pistol|Pistolet NLP M1802
itm_british_pistol_pl|Pistolet NLP M1802
itm_french_mousquiton|Mousqueton
itm_french_mousquiton_pl|Mousqueton
itm_french_mousquiton_melee|Mousqueton de cavalerie 
itm_french_mousquiton_melee_pl|Mousqueton de cavalerie 
itm_french_mousquiton_ai|Mousqueton
itm_french_mousquiton_ai_pl|Mousqueton
itm_french_mousquiton_light|Mousqueton léger
itm_french_mousquiton_light_pl|Mousqueton léger
itm_french_mousquiton_light_melee|Mousqueton léger
itm_french_mousquiton_light_melee_pl|Mousqueton léger
itm_french_mousquiton_light_ai|Mousqueton léger
itm_french_mousquiton_light_ai_pl|Mousqueton léger
itm_french_dragoon_musket|Fusil de cavalerie
itm_french_dragoon_musket_pl|Mousquet de cavalerie
itm_french_dragoon_musket_melee|Mousquet de cavalerie
itm_french_dragoon_musket_melee_pl|Mousquet de cavalerie
itm_french_dragoon_musket_ai|Mousquet de cavalerie
itm_french_dragoon_musket_ai_pl|Mousquet de cavalerie
itm_russian_dragoon_musket|Mousquet de cavalerie russe M1798
itm_russian_dragoon_musket_pl|Mousquet de cavalerie russe M1798
itm_russian_dragoon_musket_melee|Mousquet de cavalerie russe M1798
itm_russian_dragoon_musket_melee_pl|Mousquet de cavalerie russe M1798
itm_russian_dragoon_musket_ai|Mousquet de cavalerie russe M1798
itm_russian_dragoon_musket_ai_pl|Mousquet de cavalerie russe M1798
